date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,name
2020-01-20,270,0,25,6,,0,239,0,0,0,0,,0,0,湖北
2020-01-21,375,0,28,9,,0,338,105,0,3,3,,0,0,湖北
2020-01-22,444,0,28,17,,0,399,69,0,0,8,,0,0,湖北
2020-01-23,549,0,31,24,,0,494,105,0,3,7,,0,0,湖北
2020-01-24,729,0,32,39,,0,658,180,0,1,15,,0,0,湖北
2020-01-25,1052,0,42,52,,0,958,323,0,10,13,,0,0,湖北
2020-01-26,1423,0,44,76,,0,1303,371,0,2,24,,0,0,湖北
2020-01-27,2714,0,47,100,,0,2567,1291,0,3,24,,0,0,湖北
2020-01-28,3554,0,80,125,,0,3349,840,0,33,25,,0,0,湖北
2020-01-29,4586,0,90,162,,0,4334,1032,0,10,37,,0,0,湖北
2020-01-30,5806,0,116,204,,0,5486,1220,0,26,42,,0,0,湖北
2020-01-31,7153,0,166,249,,0,6738,1347,0,50,45,,0,0,湖北
2020-02-01,9074,0,215,294,,0,8565,1921,0,49,45,,0,0,湖北
2020-02-02,11177,0,295,350,,0,10532,2103,0,80,56,,0,0,湖北
2020-02-03,13522,0,396,414,,0,12712,2345,0,101,64,,0,0,湖北
2020-02-04,16678,0,520,479,,0,15679,3156,0,124,65,,0,0,湖北
2020-02-05,19655,0,633,549,,0,18473,2987,0,113,70,,0,0,湖北
2020-02-06,22112,0,817,618,,0,20677,2447,0,184,69,,0,0,湖北
2020-02-07,24953,0,1115,699,,0,23139,2841,0,298,81,,0,0,湖北
2020-02-08,27100,0,1439,780,,0,24881,2147,0,324,81,,0,0,湖北
2020-02-09,29631,0,1795,871,,0,26965,2618,0,356,91,,0,0,湖北
2020-02-10,31728,0,2222,974,,0,28532,2097,0,427,103,,0,0,湖北
2020-02-11,33366,0,2639,1068,,0,29659,1638,0,417,94,,0,0,湖北
2020-02-12,48206,0,3441,1310,,0,43455,14840,0,802,242,,0,0,湖北
2020-02-13,51986,0,4131,1318,,0,46537,4823,0,690,8,,0,0,湖北
2020-02-14,54406,0,4774,1457,,0,48175,2420,0,643,139,,0,0,湖北
2020-02-15,56249,0,5623,1596,,0,49030,1843,0,849,139,,0,0,湖北
2020-02-16,58182,0,6639,1696,,0,49847,1933,0,1016,100,,0,0,湖北
2020-02-17,59989,0,7862,1789,,0,50338,1807,0,1223,93,,0,0,湖北
2020-02-18,61682,0,9128,1921,,0,50633,1693,0,1266,132,,0,0,湖北
2020-02-19,62457,0,10337,2029,,0,50091,775,0,1209,108,,0,0,湖北
2020-02-20,63088,0,11788,2144,,0,49156,631,0,1451,115,,0,0,湖北
